id,status,score,progress,completedAt,media_id
158570688,COMPLETED,7,1,02-12-2021,105143
158570929,COMPLETED,10,24,04-04-2021,113415
167083026,COMPLETED,2,12,04-19-2021,113425
173161075,COMPLETED,7,1,02-26-2021,21585
174175824,COMPLETED,7,12,08-07-2021,112608
174176008,COMPLETED,7,12,04-02-2021,124845
181763096,COMPLETED,8,12,04-17-2022,131681
182728605,COMPLETED,5,1,07-06-2021,131773
182934491,COMPLETED,8,11,,108465
183566248,COMPLETED,6,5,,125426
183885406,COMPLETED,7,12,10-24-2021,116742
184228223,COMPLETED,8,12,03-27-2022,131942
184811973,COMPLETED,6,12,,116588
186134784,COMPLETED,7,5,11-28-2021,132193
188938047,COMPLETED,7,12,07-24-2021,120697
188963617,COMPLETED,7,12,04-29-2021,13331
189098510,COMPLETED,8,13,07-07-2021,128547
190284647,COMPLETED,9,13,07-08-2021,128546
190285026,COMPLETED,8,20,09-11-2021,114535
190288351,COMPLETED,7,12,05-27-2022,109298
192391694,COMPLETED,7,12,05-09-2021,1519
192391721,COMPLETED,7,5,05-13-2021,4901
193319928,COMPLETED,8,4,05-08-2021,20918
193320006,COMPLETED,8,12,06-14-2021,21262
193320302,COMPLETED,7,6,,100815
193320725,COMPLETED,7,12,06-16-2021,21520
193675776,COMPLETED,8,12,12-24-2021,127720
193707303,COMPLETED,7,1,07-07-2021,125368
193933761,COMPLETED,7,13,05-17-2021,124080
194647498,COMPLETED,8,12,01-16-2022,133965
195041665,COMPLETED,8,4,05-16-2021,21577
208401536,COMPLETED,8,7,01-09-2022,129874
208402661,COMPLETED,7,13,08-16-2022,111321
208403243,COMPLETED,8,11,08-14-2021,116589
208403274,COMPLETED,8,12,03-20-2022,131586
214251249,COMPLETED,7,12,12-24-2021,131083
222327580,COMPLETED,6,12,12-05-2021,122052
222327806,COMPLETED,7,24,10-01-2021,120120
222327925,COMPLETED,7,1,10-16-2021,107625
224861236,COMPLETED,7,26,10-29-2021,6114
224861414,COMPLETED,8,12,10-29-2021,100077
224861612,COMPLETED,7,1,10-27-2021,99425
